"type","doi","isbn","issn","pmid","pmcid","wikidata","wikipedia","url"
"book","t","t","","t","","t","","t"
"dataset/data file","t","","","t","","t","","t"
"disseration","t","t","","t","t","t","","t"
"edited book","t","t","","t","","t","","t"
"journal article","t","","","t","t","t","","t"
"monograph","t","t","","t","","t","","t"
"other","t","","","t","","t","t","t"
"peer review","t","","","t","t","t","","t"
"posted content","t","","","t","","t","","t"
"proceedings article","t","","","t","t","t","","t"
"report","t","t","","t","t","t","","t"
"reference book","t","t","","t","","t","","t"
"reference entry","t","","","t","","t","t","t"
"book chapter","t","","","t","","t","","t"
"book part","t","","","t","","t","","t"
"book section","t","","","t","","t","","t"
"book track","t","","","t","","t","","t"
"component","t","","","t","","t","","t"
"book series","t","","t","t","","t","","t"
"book set","t","","t","t","","t","","t"
"journal","t","","t","t","","t","","t"
"proceedings","t","","","t","","t","","t"
"proceedings series","t","","t","t","","t","","t"
"report series","t","","t","t","","t","","t"
"series","t","","t","t","","t","","t"
"standard","t","t","","t","","t","","t"
"standard series","t","","t","t","","t","","t"
"journal issue","t","","","t","","t","","t"
"journal volume","t","","","t","","t","","t"